stage,n_estimators,rank,candidate_id,mean_macro_f1,sd_macro_f1,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,25,1,92,0.8227357124600502,0.0121924175713142,46.79757140000584,3,entropy,,5,2,0.1,False
1,25,2,75,0.8226600088039792,0.0229942936914935,24.191772100006347,3,entropy,20.0,10,1,0.05,False
1,25,3,13,0.8223127659675707,0.0143088157475681,92.27330120000988,3,entropy,,20,1,0.2,False
1,25,4,15,0.8222668588108545,0.0163021715563196,90.28701529999672,3,entropy,40.0,2,2,0.2,False
1,25,5,30,0.8213660840806688,0.0249911392050158,15.29145580000477,3,gini,,20,1,0.05,False
1,25,6,60,0.8207940921425321,0.0186040044129177,48.037004400015576,3,entropy,20.0,2,1,0.1,False
1,25,7,85,0.8206452123541278,0.0191945941056701,87.94085809998796,3,entropy,60.0,2,4,0.2,False
1,25,8,34,0.8194521933812045,0.0192125567458578,32.22035529999994,3,gini,,2,1,0.1,False
1,25,9,26,0.8175897216943557,0.0214986574460026,14.051746799988903,3,gini,,5,4,0.05,False
1,25,10,47,0.8168252115517687,0.0226248416511913,47.65467190000345,3,entropy,60.0,10,2,0.1,False
1,25,11,10,0.8167098407916944,0.0149172193157044,15.562680999995791,3,gini,60.0,5,2,0.05,False
1,25,12,97,0.8164984558399079,0.0184331016931747,12.740389000013238,3,gini,80.0,5,8,0.05,False
1,25,13,72,0.815928342341785,0.0135195723467899,15.789526199994723,3,gini,80.0,2,1,0.05,False
1,25,14,100,0.8157066858770415,0.0169612075318105,44.6078647000104,3,entropy,20.0,20,4,0.1,False
1,25,15,99,0.8155298462447446,0.0177479014845402,23.744809899988468,3,entropy,80.0,20,1,0.05,False
1,25,16,90,0.8154728187182009,0.0093803252875683,46.24857199998223,3,entropy,20.0,2,4,0.1,False
1,25,17,41,0.8152576313810115,0.0186267371057864,45.47392710001441,3,entropy,80.0,10,4,0.1,False
1,25,18,83,0.8123267152017887,0.0144181947548555,6.985955800017109,3,gini,20.0,2,1,0.02,False
1,25,19,7,0.8121790938873031,0.0191013467116656,28.69429599998693,3,gini,80.0,2,4,0.1,False
1,25,20,6,0.8116511938528653,0.0253089320551948,25.221146999989287,3,gini,80.0,5,8,0.1,False
1,25,21,66,0.8116511938528653,0.0253089320551948,25.184475300004124,3,gini,80.0,10,8,0.1,False
1,25,22,55,0.8106501360025419,0.0205782476488061,6.248513599988655,3,gini,40.0,10,4,0.02,False
1,25,23,78,0.8103368439342301,0.0229483527980173,23.045905700011645,3,entropy,80.0,10,8,0.05,False
1,25,24,28,0.8096690675076643,0.0204099263593613,6.280926200008253,3,gini,60.0,20,2,0.02,False
1,25,25,56,0.8096690675076643,0.0204099263593613,6.513937700001407,3,gini,40.0,20,2,0.02,False
1,25,26,45,0.808304170650687,0.025207621876647,6.196058500005165,3,gini,80.0,5,4,0.02,False
1,25,27,94,0.8073261171988836,0.0098370649760923,9.993373299992529,3,entropy,60.0,5,2,0.02,False
1,25,28,42,0.8061508625815456,0.022070865471075,4.2356793000071775,3,gini,40.0,10,2,sqrt,False
1,25,29,48,0.8052505666978552,0.017463200779166,4.351368600007845,3,gini,,5,2,sqrt,False
1,25,30,43,0.805120120530931,0.0137028962298563,9.6255092999927,3,gini,80.0,2,2,0.05,True
1,25,31,93,0.8044459791523982,0.0189301051527204,17.47831919998862,3,gini,20.0,10,1,0.1,True
1,25,32,5,0.8025934173773717,0.0202343311834703,9.281030599988298,3,entropy,40.0,10,8,0.02,False
1,25,33,35,0.8025934173773717,0.0202343311834703,9.203794999993988,3,entropy,,5,8,0.02,False
1,25,34,1,0.8017221902383054,0.0141351967389275,38.8358409999928,3,gini,80.0,5,1,0.2,True
1,25,35,62,0.8005273405248831,0.0119413792622032,6.93930359998194,3,entropy,80.0,5,1,sqrt,False
