iter,n_resources,rank_test_score,candidate_id,mean_test_score,std_test_score,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
0,25,1,99,0.8953422957712753,0.008011019394800754,9.213334506999672,3,entropy,60.0,2,1,0.1,False
0,25,2,14,0.8914994382934739,0.008175325010357408,15.549582384999667,3,gini,60.0,2,1,0.2,False
0,25,3,21,0.889281762103422,0.007455831513755687,7.396812922001118,3,gini,60.0,10,2,0.1,False
0,25,4,76,0.8887872396213479,0.007991626620126546,7.849271768001927,3,gini,80.0,5,1,0.1,False
0,25,5,19,0.8858316830317744,0.00929532128833465,17.06448172799719,3,entropy,40.0,2,4,0.2,False
0,25,6,49,0.8858316830317744,0.00929532128833465,16.91460535099759,3,entropy,80.0,5,4,0.2,False
0,25,7,5,0.8857831596581498,0.004656226684673851,3.7118719200007035,3,gini,,2,2,0.05,False
0,25,8,40,0.8856793374670886,0.004135318974676394,8.757599440999911,3,entropy,60.0,10,4,0.1,False
0,25,9,94,0.8855124405819049,0.0012069481310285626,17.386365620001015,3,entropy,60.0,10,2,0.2,False
0,25,10,1,0.8848337377756543,0.008214810304500202,4.533549059997313,3,entropy,,10,4,0.05,False
0,25,11,45,0.8840113604840454,0.0071051489351872405,13.557134371996653,3,gini,80.0,5,4,0.2,False
0,25,12,96,0.8838751295668507,0.005901904012134542,17.55418845499662,3,entropy,,2,2,0.2,False
0,25,13,52,0.8825549251792436,0.008901710663682927,3.356645723000838,3,gini,,5,4,0.05,False
0,25,14,89,0.8823338288376971,0.004938027770347653,4.690008109999326,3,entropy,60.0,10,2,0.05,False
0,25,15,26,0.8819987068245031,0.005166803938882116,6.8599180369965325,3,gini,60.0,2,4,0.1,False
0,25,16,72,0.8819987068245031,0.005166803938882116,6.800057452004694,3,gini,40.0,5,4,0.1,False
0,25,17,73,0.8810739826622697,0.005520445126605217,3.567080625001836,3,gini,80.0,20,2,0.05,False
0,25,18,74,0.8806071782890261,0.002739404771545037,1.5613118030014448,3,gini,60.0,10,1,0.02,False
0,25,19,8,0.8805221477732289,0.004213216269774612,17.24839634199816,3,entropy,80.0,20,2,0.2,False
0,25,20,43,0.8790308671678887,0.0036148215207449925,2.5676960419987154,3,entropy,60.0,10,4,sqrt,False
0,25,21,95,0.8787810689597976,0.008781364734758108,1.5288265669987595,3,gini,20.0,2,2,0.02,False
0,25,22,68,0.8782065130900082,0.008401462448983942,2.6797085180005524,3,entropy,80.0,5,2,sqrt,False
0,25,23,51,0.8767069642992061,0.009217056679874113,1.9289147740018961,3,entropy,60.0,2,4,0.02,False
0,25,24,91,0.8759677185869877,0.009133124853008281,1.5901497169979848,3,gini,20.0,2,1,0.02,False
0,25,25,6,0.8754624160350474,0.010195959222922617,4.411677924996184,3,entropy,80.0,20,4,0.05,False
0,25,26,77,0.8753068182349297,0.006941703582017336,8.706528950002394,3,entropy,20.0,20,4,0.1,False
0,25,27,54,0.8744792711369911,0.008273802814202168,0.9645701169974927,3,entropy,40.0,2,1,log2,False
0,25,28,30,0.8743387966914821,0.004262762305609583,5.725051875000645,3,entropy,60.0,5,2,0.1,True
0,25,29,23,0.8735221766883848,0.002350234495110997,4.822044623000693,3,gini,,2,1,0.1,True
0,25,30,34,0.8732903725149317,0.005953276064378041,5.695204818999628,3,entropy,60.0,5,1,0.1,True
0,25,31,17,0.8725504633596413,0.006456421985505582,3.06324551200305,3,gini,20.0,10,8,0.05,False
0,25,32,3,0.8725348419591449,0.006459789390936233,3.049781221001467,3,gini,60.0,2,8,0.05,False
0,25,33,59,0.8724716141087597,0.007054248980369584,3.4045740280052996,3,gini,80.0,20,4,0.05,False
0,25,34,88,0.8723855950899194,0.006977581068819079,8.765658162003092,3,gini,,2,2,0.2,True
